municipio,periodo,grado_promedio_escolaridad,poblacion_asiste_escuela,poblacion_total,porcentaje_alfabetas,total_viviendas_habitadas,viviendas_con_automovil,viviendas_con_internet
Opodepe,2000,5.9,665.0,2831.0,94.6107784431138,762.0,,
Opodepe,2005,6.6,680.0,2634.0,,730.0,,
Opodepe,2010,7.07,650.0,2878.0,95.87,857.0,,
Opodepe,2015,7.2338257,,,94.1984732824427,853.0,,15.7277
Opodepe,2020,7.81260010678057,511.0,2438.0,97.0149253731343,828.0,57.7669902912621,33.8592233009709
Oquitoa,1995,,,416.0,,120.0,,
Oquitoa,2000,7.2,67.0,402.0,96.875,117.0,,
Oquitoa,2005,7.7,72.0,409.0,,122.0,,
Oquitoa,2010,8.03,90.0,443.0,96.51,129.0,,
Oquitoa,2015,7.0309278,,,95.2218430034129,113.0,,15.929204
Oquitoa,2020,9.85427135678392,91.0,496.0,98.7437185929648,156.0,73.7179487179487,28.8461538461538
Pitiquito,1995,,,8957.0,,2085.0,,
Pitiquito,2000,7.4,2474.0,9236.0,95.2645329849771,2270.0,,
Pitiquito,2005,7.9,2569.0,9117.0,,2407.0,,
Pitiquito,2010,8.4,2547.0,9468.0,95.43,2574.0,,
Pitiquito,2015,8.8227829,,,96.4367816091954,2643.0,,30.57132
Pitiquito,2020,9.23991228070175,2130.0,9122.0,96.5211062590975,2768.0,65.8695652173913,49.1304347826087
Puerto Peñasco,1995,,,27169.0,,6264.0,,
Puerto Peñasco,2000,7.9,8600.0,31157.0,96.8430917969713,7465.0,,
Puerto Peñasco,2005,8.5,11732.0,44875.0,,11260.0,,
Puerto Peñasco,2010,9.04,15575.0,57342.0,95.95,15669.0,,
Puerto Peñasco,2015,9.3941342,,,97.3397795216741,17566.0,,42.899877
Puerto Peñasco,2020,9.83034042084389,16096.0,62689.0,97.9533063665143,19176.0,76.7208084228348,70.7264165917147
Quiriego,1995,,,3820.0,,828.0,,
Quiriego,2000,4.7,721.0,3335.0,80.2424786708577,858.0,,
Quiriego,2005,5.1,636.0,3049.0,,816.0,,
Quiriego,2010,5.84,762.0,3356.0,83.89,930.0,,
Quiriego,2015,6.5116722,,,87.6068376068376,871.0,,1.1481056
Quiriego,2020,7.23483195111305,650.0,3090.0,89.7424705368835,933.0,32.4731182795699,6.34408602150538
Rayon,1995,,,1695.0,,490.0,,
Rayon,2000,5.9,335.0,1591.0,93.7719298245614,479.0,,
Rayon,2005,6.7,338.0,1543.0,,469.0,,
Rayon,2010,6.95,325.0,1599.0,94.25,527.0,,
Rayon,2015,7.2387665,,,94.2832014072119,509.0,,9.4302554
Rayon,2020,7.74534686971235,249.0,1496.0,96.2025316455696,540.0,60.4089219330855,26.5799256505576
Rosario,1995,,,5962.0,,1375.0,,
Rosario,2000,5.3,1302.0,5432.0,83.7750135208221,1376.0,,
Rosario,2005,6.1,1254.0,5165.0,,1407.0,,
Rosario,2010,6.62,1208.0,5226.0,88.85,1455.0,,
Rosario,2015,7.0998101,,,90.1537631507958,1481.0,,5.6718433
Rosario,2020,7.20884658454647,1005.0,4830.0,91.2545403744063,1508.0,50.9634551495017,17.9401993355482
Sahuaripa,1995,,,7222.0,,1662.0,,
Sahuaripa,2000,6.4,1611.0,6400.0,93.4807916181607,1683.0,,
Sahuaripa,2005,7.0,1423.0,5792.0,,1638.0,,
Sahuaripa,2010,7.54,1451.0,6020.0,94.78,1752.0,,
Sahuaripa,2015,8.0,,,95.0107424206254,1722.0,,17.98603
Sahuaripa,2020,8.4169741697417,1083.0,5257.0,96.3890935887988,1746.0,69.4205393000574,35.8577165806081
San Felipe de Jesus,1995,,,403.0,,112.0,,
San Felipe de Jesus,2000,7.4,97.0,416.0,95.1890034364261,121.0,,
San Felipe de Jesus,2005,7.6,72.0,312.0,,102.0,,
San Felipe de Jesus,2010,8.47,104.0,396.0,95.96,130.0,,
San Felipe de Jesus,2015,8.9391304,,,93.581081081081,139.0,,12.230216
San Felipe de Jesus,2020,9.5,84.0,369.0,98.1751824817518,126.0,73.8095238095238,20.6349206349206
San Ignacio Rio Muerto,2000,6.4,3613.0,13692.0,91.0446088321004,3020.0,,
San Ignacio Rio Muerto,2005,7.0,3814.0,13244.0,,3201.0,,
San Ignacio Rio Muerto,2010,7.71,3936.0,14136.0,93.39,3597.0,,
San Ignacio Rio Muerto,2015,8.1766063,,,94.5930399769916,3797.0,,11.702688
San Ignacio Rio Muerto,2020,8.55125523012552,3393.0,14279.0,95.6686930091185,3924.0,43.9068100358423,21.0445468509985
San Javier,1995,,,306.0,,86.0,,
San Javier,2000,6.2,59.0,279.0,92.5,89.0,,
San Javier,2005,6.5,49.0,242.0,,82.0,,
San Javier,2010,8.03,82.0,492.0,95.82,147.0,,
San Javier,2015,8.2788944,,,96.4912280701754,169.0,,9.4674556
San Javier,2020,8.77049180327869,145.0,537.0,97.2677595628415,156.0,66.6666666666667,36.5384615384615
San Luis Rio Colorado,1995,,,133140.0,,31289.0,,
San Luis Rio Colorado,2000,7.6,37044.0,145006.0,95.3144136154398,35315.0,,
San Luis Rio Colorado,2005,8.1,41642.0,157076.0,,40706.0,,
San Luis Rio Colorado,2010,8.62,48121.0,178380.0,95.58,47824.0,,
San Luis Rio Colorado,2015,9.026836,,,96.3934810302666,54809.0,,42.297961
San Luis Rio Colorado,2020,9.4574601517319,48549.0,199021.0,97.3326500890016,59692.0,79.8188087350416,65.7781759177878
San Miguel de Horcasitas,1995,,,4439.0,,965.0,,
San Miguel de Horcasitas,2000,5.0,1035.0,5626.0,85.5418223627479,1168.0,,
San Miguel de Horcasitas,2005,5.3,1496.0,6036.0,,1276.0,,
San Miguel de Horcasitas,2010,5.86,1850.0,8382.0,88.13,1646.0,,
San Miguel de Horcasitas,2015,5.9427906,,,87.1283839893705,2307.0,,7.9142982
San Miguel de Horcasitas,2020,6.73162462706808,2392.0,10729.0,89.8591930679664,2785.0,31.8198198198198,22.8108108108108
San Pedro de la Cueva,1995,,,1890.0,,558.0,,
San Pedro de la Cueva,2000,5.7,346.0,1703.0,92.814877430262,552.0,,
San Pedro de la Cueva,2005,6.1,324.0,1429.0,,515.0,,
San Pedro de la Cueva,2010,6.89,353.0,1604.0,93.94,567.0,,
San Pedro de la Cueva,2015,7.1643952,,,95.3310696095076,541.0,,18.669131
San Pedro de la Cueva,2020,7.69627749576988,221.0,1458.0,95.1898734177215,565.0,60.9929078014184,31.2056737588652
Santa Ana,1995,,,13374.0,,3275.0,,
Santa Ana,2000,7.8,3602.0,13526.0,97.1170774647887,3377.0,,
Santa Ana,2005,8.4,4005.0,14638.0,,3774.0,,
Santa Ana,2010,8.88,4348.0,16014.0,97.69,4425.0,,
Santa Ana,2015,9.3190905,,,97.5519986304887,4758.0,,42.12963
Santa Ana,2020,9.86171447521141,4044.0,16203.0,98.4346529733311,4936.0,70.3959390862944,58.5786802030457
Santa Cruz,1995,,,1407.0,,362.0,,
Santa Cruz,2000,6.8,359.0,1628.0,96.1722488038278,438.0,,
